GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
parking-system,com.parkit.parkingsystem.service,FareCalculatorService,5,121,2,9,1,35,2,10,0,6
parking-system,com.parkit.parkingsystem.service,ParkingService,254,0,11,0,72,0,13,0,7,0
parking-system,com.parkit.parkingsystem.service,InteractiveShell,69,0,6,0,27,0,7,0,3,0
parking-system,com.parkit.parkingsystem,App,9,0,0,0,4,0,2,0,2,0
parking-system,com.parkit.parkingsystem.model,ParkingSpot,5,57,2,6,2,19,3,10,1,8
parking-system,com.parkit.parkingsystem.model,Ticket,0,45,0,0,0,19,0,13,0,13
parking-system,com.parkit.parkingsystem.constants,ParkingType,0,24,0,0,0,3,0,1,0,1
parking-system,com.parkit.parkingsystem.util,InputReaderUtil,54,0,4,0,18,0,6,0,4,0
parking-system,com.parkit.parkingsystem.dao,TicketDAO,324,0,6,0,78,0,12,0,9,0
parking-system,com.parkit.parkingsystem.dao,ParkingSpotDAO,114,0,4,0,32,0,8,0,6,0
parking-system,com.parkit.parkingsystem.config,DataBaseConfig,60,0,6,0,26,0,9,0,6,0
